PC1,PC2,target_fraud
20379.279956971906,10761.629252105618,0
-3478.717506806379,-2493.023641546046,1
5846.468016054594,1992.4487113241048,0
-14169.624096764814,-1498.265658744542,0
-11905.02916981633,754.3460178448454,0
-3193.2205137203364,1639.6508672410955,0
-6722.560071951526,1782.9504194404462,0
-11791.760621822796,-1242.114530245903,0
27409.72411441726,1407.0506693863153,1
-632.695953194685,1806.8150281778862,1
15074.901778102536,-1380.0319167674854,1
-6267.417664436285,4132.2693384942195,0
-3143.187604957837,15682.462398249103,0
-3197.974332227668,-702.8767341864636,1
-6078.521080614139,2949.8478347784076,0
7520.370593439307,2441.4605128641306,0
-1762.1038152588335,-2718.2632887778677,0
-13561.550729466384,-2949.957042213061,0
24412.62628621806,2274.1757990103106,1
7441.115436417967,13558.856855587703,0
1162.5526922235076,-7851.89799947908,0
-11552.049745426539,857.2582752703979,0
10380.982959001718,4227.832970633003,1
9355.661915664554,2692.8112894704655,0
-10527.762859045846,-4218.847651871477,1
-12032.004536607257,-313.54045229639996,0
4308.871738967384,-8723.16756649304,0
13137.996073822407,1179.271342637102,1
-10644.402203421643,-643.4327293515057,0
-2550.898025000006,-829.6455421057594,0
-9110.160462676113,-2104.676014746517,0
-12286.662975587682,-3668.439217094729,0
-7831.690221489492,11545.205737881392,0
22936.97014026132,2633.4590028326656,1
-13707.264187395152,-2525.731689002077,0
-12107.219044016892,-3927.821902384808,0
17310.32595498374,7317.052543600696,0
1085.5778207964104,-7503.539302216391,0
-12013.508613962873,802.9202203965788,0
16793.61914605005,-8696.50785150594,1
-8888.052964795057,7663.497409937332,0
-7383.4840845653,-3589.3981578904186,0
17581.95601824367,-7923.486790247883,0
127.2416068377861,-4623.998477929781,1
-7337.928796316974,-5288.983337678068,0
-12991.27371239615,-3352.828247318098,0
-8744.763548326904,9177.8497972129,0
-4103.972945850257,12102.68159931244,0
-8114.9822156386335,-1830.4723270584664,0
-129.52668488386007,-576.7057936266656,0
19667.245797395815,9204.013713692008,1
-11516.341668028765,-1081.1826806022268,0
-1160.6081253880948,-3493.145643973459,0
-8943.31183425734,-1620.8040533146177,0
-11494.050041799888,-2357.9848332391334,0
27215.746972421868,-1423.9342141085906,0
-4577.765617107552,8372.384551901017,0
-11281.335550711176,-3447.243147852596,0
-7335.0623170542585,1187.4385390840098,0
13055.20326240217,79.32939449523656,0
-10739.276413273006,1506.9982773857964,0
-11765.57656490714,-443.0227112940606,0
-3888.251764543971,3496.537863713087,0
5171.997409482719,-10004.355246501247,1
-9452.773406892282,-916.8469198396488,0
-5321.266118545562,-2328.8937290583603,1
-3402.110870930077,-1836.5867643729694,0
-11692.078422931496,-2506.753988818214,0
18460.07111193418,5289.29217242429,1
4069.359963419083,-5865.452236406428,0
10542.40666508035,17693.865525804336,0
7691.5625358165635,-3947.1669814618363,0
-11791.588671243879,263.68851692970884,0
-13880.379184655192,-2930.311891589893,0
